job_id,title,company,location,description,source,job_uid,dedup_key,skills_extracted,match_score
bJonAtgLD59sQfTpAAAAAA==,consultant·e data engineer – senior / confirmé·e,saegus,"paris, fr","💫 rejoins saegus

saegus est un cabinet de conseil indépendant spécialisé dans la transformation par la data et l’intelligence artificielle.

nous accompagnons les directions générales, métiers et it de grandes organisations dans la conception et la mise en œuvre de stratégies data & ia capables de transformer durablement leurs modèles opérationnels.

notre conviction : la donnée n’a de valeur que lorsqu’elle est fiable, industrialisée et mobilisée au service de décisions business à fort impact.

dans un contexte de forte croissance de nos activités data & ai, nous renforçons nos équipes et recherchons un·e consultant senior/confirmé·e data engineer.

🎯 ton rôle

en tant que consultant·e, tu interviens au cœur des transformations data de nos clients :
de la conception des architectures à l’industrialisation des pipelines permettant d’exploiter la donnée à grande échelle.

🚀 tes responsabilités

➡️ concevoir des architectures data modernes
tu conçois et mets en œuvre des architectures data scalables (data lake, lakehouse, data warehouse) permettant de structurer et valoriser les actifs data de nos clients.

➡️ développer et industrialiser les pipelines de données
tu développes des pipelines robustes d’ingestion et de transformation garantissant la qualité, la fiabilité et la performance des données.

➡️ accompagner les transformations cloud
tu participes à la mise en place de plateformes data modernes sur les environnements cloud (azure, gcp, snowflake…).

➡️ garantir l’excellence opérationnelle
tu contribues à l’industrialisation des traitements : ci/cd, orchestration, monitoring, automatisation et bonnes pratiques d’ingénierie.

➡️ faire le lien entre technologie et valeur métier
tu travailles étroitement avec les équipes métiers, data scientists et analystes afin de garantir la disponibilité de données fiables au service des usages analytiques et ia.

➡️ contribuer à l’excellence du cabinet
tu participes à la capitalisation des savoir-faire, à la veille technologique et à la montée en compétences des équipes smart data.

🚀 ce que tu développeras chez saegus

en rejoignant saegus, tu évolueras dans un environnement qui combine :
• exigence du conseil stratégique

• expertise technologique avancée

• culture entrepreneuriale

tu interviendras sur des programmes de transformation data & ai pour des acteurs majeurs de secteurs variés.

🌟 ton profil

✅ diplômé·e d’une grande école d’ingénieur ou équivalent
✅ 4+ ans d’expérience en data engineering (en cabinet de conseil ou grands environnements data) : avec un focus sur l’ingestion, le traitement et l’industrialisation des données dans des environnements cloud
✅ solide expérience dans le développement et la maintenance de pipelines de données (etl/elt) en environnement cloud ou hybride
✅ solide maîtrise de python, sql et des architectures data modernes (data lake, data warehouse, data mesh)
✅ expérience des environnements cloud (azure, gcp, snowflake…)
✅ connaissance des outils d’orchestration et de workflow (airflow, azure data factory, prefect, adf…)
✅ connaissance des principes d’industrialisation et d’automatisation (ci/cd, tests, monitoring, infrastructure as code avec terraform)
✅ sens du delivery et capacité à évoluer dans des environnements complexes
✅ français et anglais courants à l'oral et à l'écrit

voici quelques-unes de nos réalisations :

🚀 création d’un cockpit digital de supervision de l’activité sur les réseaux sociaux des 35 marques du groupe l’oréal dans 150 pays.

🚀 mise en place d’une plateforme data automatisant la mise à disposition de datasets pour les citizen data scientists d’un leader français du retail.

🚀 déploiement de dashboards analytiques permettant le suivi de la performance fournisseurs et la gestion des contrats d’un grand groupe industriel.

🎉 pourquoi nous rejoindre

chez saegus, nous croyons que la data et l’ia constituent l’un des plus puissants leviers de transformation des organisations.

nous construisons un cabinet capable d’accompagner ses clients de la stratégie à l’industrialisation, avec un niveau d’exigence comparable aux meilleurs acteurs du conseil.

rejoindre saegus, c’est participer à cette ambition.

ce que nous t'apportons...

💪 formations et développement de carrière

• une journée de formation incluse dans ton parcours d’onboarding lors de ton premier mois d’arrivée pour partager les fondamentaux et répondre à tes questions.

• accès à un coach interne et consultant comme toi pour t’accompagner dans ton quotidien (questions en particulier, aide, montée en compétences)

• un plan de formations et de certifications ambitieux (minimum 1 certification offerte par an).

🕶️ avantages

• remboursement de tes frais de transport (remboursement à 100% de ton pass navigo ou forfait mobilité durable jusqu’à 700€ par an pour l’utilisation et l’aide à l’achat de matériel de mobilité douce).

• titres restaurant à hauteur de 216€/mois pris en charge à 60% par saegus (carte swile).

• prime vacances (versée en juin).

• prime téléphone 25€/mois.

• prime d’intéressement aux résultats de l’entreprise.

• prise en charge par saegus de la mutuelle à la hauteur de 75%.

👋 cohésion et convivialité

• organisation de deux activités par mois (fun, solidaire ou excellence) par notre team anim'.

• un séminaire annuel pour favoriser la cohésion entre saegusiens.

• accès aux locaux de saegus, très accueillants dans le centre de paris notamment lors de nos saeg'up mensuels.

🤝 processus de recrutement

le processus de recrutement se déroule en 3 phases maximum :

• entretien de préqualification avec l’équipe talent.

• entretien avec un manager ou un associé de l’équipe smart data pour te projeter sur les missions réalisées.

• restitution d’un cas pratique avec les directeurs et/ou associés smart data

saegus place la diversité et l’égalité des chances au cœur de ses préoccupations et s’engage dans ses recrutements à ne sélectionner les candidats que sur la base de critères professionnels.

💫 prêt·e à écrire la prochaine page de ton aventure avec nous ?",jsearch,jsearch_bJonAtgLD59sQfTpAAAAAA==,"consultant·e data engineer – senior / confirmé·e | saegus | paris, fr","python, sql, airflow, azure, etl, excel",100
205YRVH,analytics engineer / data analyst (h/f),non renseigné,75 - paris 08,"dans le cadre du développement de notre pôle data, nous recherchons un(e) analytics engineer / data analyst en alternance ou junior, capable de concevoir, structurer et exploiter des pipelines de données afin de soutenir les décisions métiers. vous interviendrez sur l'ensemble de la chaîne de valeur data : de l'ingénierie à la valorisation des données, en passant par leur gouvernance. missions principales 1. architecture et ingénierie des données concevoir, développer et industrialiser des pipelines de données (dbt, bigquery) mettre en place une architecture data modulaire, scalable et robuste intégrer et unifier des données issues de sources multiples (crm, outils rh, etc.) structurer la couche analytique pour faciliter l'exploitation par les équipes métiers 2. cloud & data platform déployer et maintenir des infrastructures data sur google cloud platform (gcp) gérer les accès (iam) et les environnements (dev, test, production) automatiser les workflows de traitement de données (airflow / orchestration équivalente) participer aux processus ci/cd et à la gestion de versions (gitlab) 3. exploitation et valorisation des données traduire les besoins métiers en indicateurs clés et tableaux de bord collaborer avec les équipes (rh, commerce, formation, etc.) produire des analyses data-driven pour soutenir la prise de décision participer à des projets d'analyse avancée (ventes, comportement client) 4. qualité, sécurité et gouvernance mettre en place des tests automatisés (qualité, cohérence, fraîcheur des données) garantir la fiabilité et la stabilité des pipelines implémenter des règles de sécurité et de gouvernance des accès (row-level security) documenter les modèles de données et les bonnes pratiques profil recherché formation bac +3 à bac +5 en informatique, data ou équivalent compétences techniques data engineering : dbt, bigquery cloud : google cloud platform (gcp) data ingestion : fivetran langages : sql, python data viz : tableau, power bi outils : gitlab, ci/cd connaissances appréciées : terraform, kubernetes, airflow, apis, salesforce crm machine learning (bases), clustering, segmentation compétences fonctionnelles bonne compréhension des enjeux métiers (finance, rh, commerce) capacité à transformer un besoin métier en solution data esprit analytique et rigueur langues français courant anglais professionnel",france_travail,france_travail_205YRVH,analytics engineer / data analyst (h/f) | non renseigné | 75 - paris 08,"python, sql, airflow, power bi, machine learning",100
0967004,senior data scientist - downstream demand forecast - value chain (f/m/d) (h/f),non renseigné,75 - paris,"decathlon digital decathlon ambitionne de devenir la meilleure plateforme numérique sportive et écosystème ouvert au monde. nous souhaitons permettre aux clients de vivre decathlon à travers de nombreuses expériences locales centrées sur le sport en connectant de nombreux acteurs et services tiers, de manière sécurisée et performante. decathlon digital, c'est aujourd'hui plus de profils techniques : software engineers, product managers, expert·e·s de la data, du cloud et de la cybersécurité, en france et à l'étranger, implantées à paris, lille, nantes, lyon, et amsterdam. notre équipe downstream demand forecast recherche un·e data scientist basé·e à lille ou paris. l'équipe downstream demand forecast, au sein de la data supply chain, est responsable de la conception, du développement et de la maintenance de solutions analytiques et d'intelligence artificielle innovantes autour des enjeux de la supply chain, la prévision de demande multi-échelon, l'estimation des stocks cibles ou la gestion de pénuries pour n'en nommer que quelques-uns. tu travailleras au sein d'une équipe multidisciplinaire composée de data scientists, data analysts, analytics engineers, ml engineers travaillant de manière agile et en proximité forte avec nos interlocuteurs product et engineering ainsi que nos utilisateurs métiers. ta future contribution ta mission: collaborer, analyser, innover, et conduire les décisions stratégiques ! en tant que senior data scientist au sein de l'équipe downstream demand forecast, tu joueras un rôle essentiel dans l'analyse des données, le développement de modèles d'ia en production permettant d'optimiser les prévisions de la demande et d'améliorer la gestion des stocks tout au long de notre supply chain. nous recherchons des candidats possédant une expertise en prévision de séries temporelles et une forte motivation à exploiter les données pour éclairer les décisions business. tes responsabilités tes responsabilités sont variées : analyser les données de ventes historiques et les comparer avec des facteurs internes (comme le prix, l'offre ou les informations produit) et externes (tendances du marché, météo, données calendaires, etc) à l'entreprise afin de prévoir la demande pour les produits decathlon. développer et mettre en œuvre des modèles statistiques avancés et des algorithmes d'apprentissage automatique pour la prévision de la demande pour les achats et le réapprovisionnement des produits decathlon. collaborer avec des équipes transverses, notamment des interlocuteurs métiers, engineering, et product de la supply chain afin d'aligner nos initiatives data et ia avec les objectifs business de l'entreprise. évaluer et améliorer les modèles et méthodologies de prévision existants afin d'en optimiser l'accuracy et l'efficacité. communiquer les analyses et proposer des recommandations aux parties prenantes au moyen de visualisations et de présentations de données claires et concises. se tenir informé(e) des tendances du secteur et des technologies émergentes en matière de science des données et de gestion de la chaîne d'approvisionnement. ce que tu apportes expérience en science des données : plus de 3 ans d'expérience en science des données, avec une maîtrise de l'analyse statistique et des techniques d'apprentissage automatique, notamment sur l'analyse et la prévision des séries temporelles. compréhension des enjeux business : vous comprenez les concepts de la supply chain, en particulier sur l'optimisation des stocks et la prévision de la demande. vous savez transformer les besoins business en problèmes bien définis et en recommandations concrètes et exploitables. programmation : expérience des langages de programmation (python et sql), des frameworks de traitement de données (spark et/ou dbt), et de modélisation ml comme tensorflow ou pytorch. esprit analytique : vous avez une grande capacité à structurer les analyses et à en tirer des enseignements pertinents. esprit collaboratif : vous êtes à l'aise au sein d'équipes multidisciplinaires (métier, données, produit, gouvernance). proactivité et curiosité : vous aimez explorer de nouvelles solutions et améliorer continuellement les méthodes d'analyse. langues : vous maîtrisez l'anglais. stack technique l'environnement technique : execution engine: databricks, aws, gcp payload: python, spark, scikit-learn, tensorflow / pytorch, pyspark ci/cd: github actions serving: docker, protobuf, grpc model registry, model tracking: mlflow orchestration: airflow documentation / code: git, confluence data visualisation: tablea",france_travail,france_travail_0967004,senior data scientist - downstream demand forecast - value chain (f/m/d) (h/f) | non renseigné | 75 - paris,"python, sql, airflow, docker, spark, databricks",100
205LZLG,développeur big data (h/f),cmrd conseil,75 - paris,"cmrd conseil accompagne ses clients dans la mise en œuvre des projets it et digitaux. dans le cadre de notre croissance, nous recherchons un développeur/développeuse big data passionnée par la donnée et les architectures distribuées. vos missions -concevoir et développer des pipelines de données big data -collecter, transformer et stocker des volumes massifs de données -développer des applications pour le compte de l'entrprise -assurer la qualité, la sécurité et la performance des données -formation des clients -accompagnement des clients pour l'étude de leurs projets -etude de faisabilité des différents projets qui seront soumis à l'équipe compétences techniques -python, scala ou java -frameworks big data : apache spark, hadoop -outils de traitement de données : kafka, airflow -bases de données : sql / nosql -cloud (un plus) : aws, gcp ou azure profil recherché -bac+5 en informatique, big data -expérience en data engineering ou big data -bonne compréhension des architectures distribuées -esprit d'analyse et résolution de problèmes -bon esprit d'équipe et communication",france_travail,france_travail_205LZLG,développeur big data (h/f) | cmrd conseil | 75 - paris,"python, sql, airflow, spark, azure, hadoop, kafka",100
205SMDW,data engineer senior (h/f),informatis technology systm,75 - paris,"dans le cadre du développement d'une plateforme data orientée iot industriel, notre client recherche un data engineer senior pour concevoir et faire évoluer des pipelines de données à forte volumétrie, en environnement cloud aws. vous interviendrez sur des architectures modernes combinant temps réel, batch et analytics avancé, avec une forte exigence en performance, scalabilité et qualité des données. vos missions data engineering & pipelines - concevoir et maintenir des pipelines de données end-to-end (batch et temps réel) - gérer l'ingestion, la transformation et la mise à disposition des données iot - développer des traitements distribués avec spark / flink - optimiser les performances et la scalabilité des flux de données architecture & stockage - concevoir des architectures data scalables (lakehouse, time-series, données opérationnelles) - mettre en place des solutions de stockage adaptées aux usages analytiques - participer à la gouvernance et à la structuration des données api & services data - développer des api robustes en python (fastapi) - exposer les données et services pour les besoins métiers et analytiques streaming & orchestration - implémenter des architectures temps réel avec aws kinesis - orchestrer les workflows batch avec airflow qualité & observabilité - garantir la qualité, la fiabilité et la traçabilité des données - mettre en place des outils de monitoring et d'observabilité (grafana, etc.) devops & industrialisation - déployer et maintenir les infrastructures via terraform / terragrunt - mettre en œuvre les bonnes pratiques ci/cd (gitlab) - adopter une approche build-run-own des services data collaboration - travailler en étroite collaboration avec les équipes data, produit et backend - traduire les besoins métiers en solutions data industrialisées - participer à un environnement agile orienté amélioration continue environnement technique cloud & infrastructure - aws : s3, lambda, kinesis, ecs, fargate, cloudwatch - architectures serverless et temps réel data platform - databricks - delta lake / lakehouse streaming & traitement distribué - apache spark - apache flink données - sql (bases relationnelles) - données temporelles (time-series) iot - mqtt - aws iot / sitewise - modélisation d'actifs monitoring - grafana - influxdb développement - python (fastapi) - scala devops - terraform / terragrunt - gitlab ci/cd orchestration - airflow compétences requises : profil recherché - minimum 6 ans d'expérience en data engineering - expertise confirmée sur aws et architectures data modernes - solide expérience en spark / traitement distribué - maîtrise des pipelines temps réel et batch - expérience sur des environnements iot ou industriels appréciée - forte sensibilité aux problématiques de qualité et observabilité des données soft skills - esprit analytique et orienté solution - autonomie et rigueur - capacité à travailler dans des environnements complexes - bon relationnel et esprit d'équipe",france_travail,france_travail_205SMDW,data engineer senior (h/f) | informatis technology systm | 75 - paris,"python, sql, airflow, spark, databricks",100
205NLXP,lead data scientist (h/f),informatis technology systm,75 - paris,"dans le cadre du développement d'une plateforme dédiée à la gestion et à l'optimisation d'actifs énergétiques renouvelables (photovoltaïque, éolien, stockage), notre client souhaite accélérer l'industrialisation de ses cas d'usage data science. les modèles développés s'inscrivent dans une logique opérationnelle et métier, au service de la performance des actifs et de la prise de décision. vos missions en tant que lead data scientist, vous interviendrez sur l'ensemble de la chaîne de valeur data : 1. structuration des cas d'usage recueillir et analyser les besoins métiers formaliser des cas d'usage data science définir les indicateurs de performance (kpi) prioriser les sujets selon leur valeur métier et leur faisabilité 2. développement des modèles concevoir et implémenter des modèles de : prévision (séries temporelles, machine learning) segmentation / clustering détection d'anomalies réaliser des analyses d'impact économique produire des modèles robustes, documentés et intégrables 3. industrialisation & mlops déployer les pipelines data sur databricks orchestrer les workflows via apache airflow mettre en place des pipelines batch et temps quasi réel définir et structurer un framework mlops : versioning des modèles monitoring des performances gestion du cycle de vie reproductibilité livrables attendus formalisation des cas d'usage priorisés modèles et algorithmes validés pipelines industrialisés documentation technique complète framework mlops opérationnel profil recherché formation supérieure en data / informatique / mathématiques expérience significative (6 ans minimum) en data science expertise en python et sql maîtrise de databricks et apache airflow expérience en mlops (mlflow ou équivalent) bonne connaissance des données volumineuses et séries temporelles compétences attendues capacité à traduire un besoin métier en solution technique esprit d'analyse et de synthèse aisance dans des environnements complexes capacité à interagir avec des interlocuteurs métiers et techniques atouts complémentaires expérience dans le secteur de l'énergie ou industriel connaissance des problématiques de performance d'actifs",france_travail,france_travail_205NLXP,lead data scientist (h/f) | informatis technology systm | 75 - paris,"python, sql, airflow, databricks, machine learning",100
Xqt28PNE0fYRljdSAAAAAA==,data analyst it,nexys recrutement,"paris, fr","présentation de l'entreprisenexys recrutement, cabinet spécialisé dans l’informatique et le digital, recherche pour l’un de ses clients un data analyst pour accompagner ses équipes dans l’exploitation et l’analyse de données stratégiques.url du recruteur: www.nexys-recrutement.commission du postecollecter, nettoyer et fiabiliser de gros volumes de données issues de systèmes variés (crm, erp, logs applicatifs…)concevoir et maintenir des tableaux de bord et rapports interactifs (power bi, tableau, looker, qlik)réaliser des analyses statistiques et des modélisations pour identifier tendances et kpisconstruire des pipelines de données (etl) et automatiser les processus de reportingcollaborer étroitement avec les équipes it, produit et business pour orienter les décisions stratégiquescontrat: non cadreprofil recherchéexpérience confirmée en tant que data analyst / business analyst (≥2-3 ans)maîtrise avancée de sql (requêtes complexes, optimisation, jointures)solide pratique d’un ou plusieurs langages analytiques : python (pandas, numpy, scikit-learn) ou rbonne connaissance des environnements cloud (azure data factory, google bigquery, aws redshift, snowflake)compétences en modélisation de données et gestion de bases relationnellesculture data et compréhension des enjeux business (kpi, roi, segmentation)sens de la communication, pédagogie et capacité à vulgariser des analyses complexes",jsearch,jsearch_Xqt28PNE0fYRljdSAAAAAA==,"data analyst it | nexys recrutement | paris, fr","python, sql, azure, power bi, etl, pandas",80
0993948,data analyst - inventory management - value chain (f/m/d) (h/f),non renseigné,75 - paris,"decathlon digital decathlon ambitionne de devenir la meilleure plateforme numérique sportive et écosystème ouvert au monde. nous souhaitons permettre aux clients de vivre decathlon à travers de nombreuses expériences locales centrées sur le sport en connectant de nombreux acteurs et services tiers, de manière sécurisée et performante. decathlon digital, c'est aujourd'hui plus de 5000 profils techniques : software engineers, product managers, expert e s de la data, du cloud et de la cybersécurité, en france et à l'étranger, implantées à paris, lille, nantes, lyon, et amsterdam. notre équipe inventory optimization recherche un e data analyst basé e à lille ou paris. l'équipe inventory optimization, intégrée à la data supply chain, est responsable de la conception, du développement et de la maintenance de solutions analytiques et d'intelligence artificielle innovantes autour des enjeux de la supply chain, la prévision de demande multi-échelon, l'estimation des stocks cibles ou la gestion de pénuries pour n'en nommer que quelques-uns. tu travailleras au sein d'une équipe multidisciplinaire composée de data scientists, data analysts, analytics engineers, ml engineers travaillant de manière agile et en proximité forte avec nos interlocuteurs produit et engineering ainsi que nos utilisateurs métiers. ta future contribution ta mission : collaborer, analyser, informer et générer de l'impact ! en tant que data analyst, tu serviras de lien clé entre les équipes data et les équipes métier de la supply chain, en les accompagnant dans la prise de décisions stratégiques grâce à la donnée. tes responsabilités tu échanges avec les contacts métier et les équipes opérationnelles pour acquérir une meilleure compréhension des problématiques sur lesquelles tu travailles. tu développes des solutions data appropriées en étant proactif et en respectant leurs contraintes, tout en conservant une solide compréhension des analyses et outils existants. tu identifies les données nécessaires à ton analyse et tu assures de leur qualité et de leur fiabilité. tu effectues le nettoyage et la préparation des données avant d'appliquer les méthodes statistiques et analytiques que tu choisis. (note : tu respectes et promeus le cadre éthique d'utilisation des données personnelles. ) tes responsabilités sont variées : analyser la performance de la supply chain aval (downstream) et amont (upstream) de decathlon notamment autour de l'estimation des cibles de stock. accompagner les équipes métier et fournir des analyses proactives et des recommandations. fournir des analyses (insights) impactantes et des recommandations solides pour orienter les décisions métier. aider les interlocuteurs métier (stakeholders) à développer leurs compétences data et agir comme relais entre eux et les autres équipes data. stack technique (si pertinent) l'environnement technique : langages : sql, python (pandas, numpy, scikit-learn) outils bi : tableau data engineering : dbt, databricks, spark plateformes cloud : aws, gcp versioning & devops : git, ci/cd, vscode ce que tu apportes expérience : 3+ ans en analyse de données (data analysis) avec une solide expertise en sql et en visualisation de données. compréhension métier : tu comprends les concepts de la supply chain, notamment autour de l'optimisation des stocks, de la prévision de demande. tu sais transformer les besoins métier en problématiques bien définies et en recommandations concrètes (actionnables). esprit analytique : tu as une grande capacité à structurer l'analyse et à interpréter des enseignements pertinents (insights). esprit collaboratif : tu es à l'aise pour travailler en équipes pluridisciplinaires (métier, data, produit, gouvernance). proactif & curieux : tu aimes explorer de nouvelles solutions et améliorer en continu les méthodes d'analyse. langues : tu as une maîtrise professionnelle de l'anglais. ce que nous t'offrons une équipe de passionnés de sport et de data ; 2 jours de télétravail par semaine ; possibilité de travailler dans l'un des bureaux de decathlon digital à lille ou paris ; matériel fourni en accord avec tes missions et nos engagements sociétaux (mac, windows, ou chromebooks) ; une équipe de projet locale au sein d'un réseau mondial (possibilité de carrière internationale) ; développement des compétences et accompagnement (diversité des projets, certifications techniques dès la première année, formations internes et externes, etc. ) ; package de rém",france_travail,france_travail_0993948,data analyst - inventory management - value chain (f/m/d) (h/f) | non renseigné | 75 - paris,"python, sql, spark, databricks, pandas",80
0696918,alternance - appui ou appuie data analyst & pilotage opérationnel f/h,non renseigné,75 - paris 1er arrondissement,"au sein du département pilotage temps réel (potr), rattaché à la direction du service client et commercial (ds2c) de la direction du marché des particuliers, et sous la responsabilité de l’hyperviseur planificateur, vous participerez tout au long de votre contrat à l’analyse et l’optimisation du pilotage opérationnel du service client particuliers. le département pilotage en temps réel garantit la qualité de service et assure la distribution des appels entrants et de activités de back-office réalisées par les centres d’appels. dans ce cadre, vos principales missions seront :- collecter, traiter et analyser les données issues des outils de pilotage.- produire des analyses opérationnelles pour optimiser le pilotage quotidien et faciliter la prise de décision.- développer et améliorer des outils de reporting et de business intelligence.- suivre les indicateurs d’activité et de performance.- collaborer avec les équipes métiers pour faire évoluer les indicateurs et outils en fonction des besoins opérationnels.- participer au pilotage en temps réel du service client aux côtés de l’équipe.- communiquer clairement les résultats : synthèse, formalisation, restitution des analyses auprès des équipes.- être force de proposition pour contribuer à l’amélioration de l’efficience opérationnelle de la filière. vous serez accompagné par votre tuteur qui pourra faire évoluer vos missions en fonction de vos attentes, vos envies et vos idées en adéquation avec les enjeux de l’équipe.profila la rentrée 2026, vous serez titulaire d’un bacc+3, et vous souhaitez préparer un master (bacc+4/5) dans une école d’ingénieur, commerce dans les domaines scientifique, informatique en alternance, sur une durée de 2 ans, dans le cadre d’un contrat apprentissage. le rythme d’alternance envisagé pour ce poste est 2 jours en formation, 3 jours entreprise / une semaine en formation, une semaine en entreprise. compétences en data & outils de pilotage- maîtrise avancée d'excel.- compétences en power bi :- notions en bases de données : compréhension des modèles de données, capacité à manipuler et structurer des jeux de données.- bonnes compétences en analyse de données, interprétation des indicateurs, capacité à tirer des conclusions opérationnelles.- connaissances en langages data appréciées (sql, python, ...) - capacité à synthétiser et présenter des résultats (oral et écrit).- rigueur, organisation, sens de l’analyse.- réactivité et goût pour le pilotage opérationnel et le travail en environnement dynamique.- esprit d’équipe et bonnes qualités relationnelles. ce qu’edf peut vous offrir 🎁 avantages- vous déménagez pour votre alternance ? edf peut vous aider à financer une partie de votre loyer.- vous profitez des activités sociales de l’entreprise- vous bénéficiez d’une prime d’intéressement et d’une couverture sociale.- vous serez remboursé de 75 % de votre titre de transport 🚌 dans le groupe edf accueillir des personnes en situation de handicap fait partie de notre adn. notre objectif est d’ouvrir nos portes à toutes les compétences, toutes les énergies et toutes les personnalités sans exclusion. le poste proposé est donc ouvert à toutes et à tous. rejoindre edf c’est intégrer : un groupe international qui innove pour développer des énergies neutres en co2avec 230 métiers différents il y en a forcément un pour vous ! une entreprise engagée dans l’accueil et la formation des étudiants+ de 90% des étudiants recommandent edf l’issue de leur alternance ou de leur stage(source : enquête happy trainees 2025) une opportunité vers une embaucheen 2025, 56% des recrutements de jeunes diplômés étaient issus de l’alternance et du stage.",france_travail,france_travail_0696918,alternance - appui ou appuie data analyst & pilotage opérationnel f/h | non renseigné | 75 - paris 1er arrondissement,"python, sql, power bi, excel",80
0513812,data engineer databricks (h/f),non renseigné,75 - paris 1er arrondissement,"dgtl / signe + est le facilitateur pour tous les acteurs qui recherchent des ressources ou des missions data. spécialiste du marché data et bi, nous intervenons dans toute la france comme à l'étranger ; en sous-traitance, pré-embauche, recrutement, portage commercial, portage salarial, etc. depuis 2018, nous accompagnons nos clients avec proximité, juste prix et préoccupation éthique de tous les instants. https://www.dgtl-performance.com le poste : dans le cadre du développement de l'usine digitale diversit sur la data. nous avons besoin de profil data engineer confirmé voir sénior pour accélerer la mise en oeuvre de cas d'usage sur la plateforme databricks. compétences experte attendu sur databricks maîtrise du ci/cd cet prestation se fera en full remote profil recherché : compétences techniques requises : databricks data intelligence platform microsoft azure databricks sql python spark jenkins",france_travail,france_travail_0513812,data engineer databricks (h/f) | non renseigné | 75 - paris 1er arrondissement,"python, sql, spark, azure, databricks",80
0343262,alternant(e) data analyst (h/f),défi rh,75 - paris,"responsabilités : défi rh, cabinet de recrutement dédié à l'emploi des travailleurs handicapés, recherche pour l'un de ses clients, acteur majeur du secteur des télécoms, un(e) : alternant(e) data analyst (h/f) vos missions principales sont les suivantes : · comprendre les besoins métiers et identifier les analyses à réaliser, · explorer et analyser les données pour détecter tendances et insights, · créer des tableaux de bord interactifs pour le suivi de la performance, · présenter les résultats et aider à la prise de décision, · garantir la fiabilité et la qualité des données utilisées. profil recherché : notre cabinet est spécialisé dans l'emploi des travailleurs en situation de handicap. vous préparez un bac+4/5 en école d'ingénieur, commerce ou université avec une spécialisation en data, business intelligence ou statistiques. intéressé(e) par l'analyse de données, vous aimez résoudre des problématiques métiers et exploiter la donnée pour produire des insights. vous maîtrisez le langage sql. une première expérience sur un outil de data visualisation, notamment tableau est appréciez. vous avez des connaissances en python ou r pour l'analyse de données (pandas, tidyverse). vous disposez d'un bon esprit d'analyse, d'un sens du service et d'une orientation client. cette alternance de 12 est à pourvoir à paris (75). ref.4763",france_travail,france_travail_0343262,alternant(e) data analyst (h/f) | défi rh | 75 - paris,"python, sql, pandas",80
