job_id,title,company,location,city,region,contract_type,experience_level,publication_date,description,source_url,source,keyword
li_4390927643,STAGE - Data analyst,Le Monde,"Paris, Île-de-France, France",Paris,Île-de-France,STAGE,Stage/Alternance,2026-03-27,,https://fr.linkedin.com/jobs/view/stage-data-analyst-at-le-monde-4390927643?position=1&pageNum=0&refId=eexoSgmKOgB%2BWdLHGimbdg%3D%3D&trackingId=BbdCaEz1oalmpCog%2FBlCLg%3D%3D,LinkedIn,data analyst
li_4390491933,Data Analyst Dataiku,eXalt Value,"Île-de-France, France",,Île-de-France,CDI,Non spécifié,2026-03-26,,https://fr.linkedin.com/jobs/view/data-analyst-dataiku-at-exalt-value-4390491933?position=2&pageNum=0&refId=eexoSgmKOgB%2BWdLHGimbdg%3D%3D&trackingId=1b229BNldtMqLhlLTSRntw%3D%3D,LinkedIn,data analyst
li_4391851256,Business & Data Analyst | SaaS/B2B - Fintech | H/F,URBAN LINKER,"Puteaux, Île-de-France, France",Puteaux,Île-de-France,CDI,Non spécifié,2026-03-30,,https://fr.linkedin.com/jobs/view/business-data-analyst-saas-b2b-fintech-h-f-at-urban-linker-4391851256?position=3&pageNum=0&refId=eexoSgmKOgB%2BWdLHGimbdg%3D%3D&trackingId=z7WxtGPDVNylht16trjqQQ%3D%3D,LinkedIn,data analyst
li_4392301395,DATA ANALYST (F/H) - EXPECTRA,AEROCONTACT,"Brive-la-Gaillarde, Nouvelle-Aquitaine, France",Brive-la-Gaillarde,Nouvelle-Aquitaine,CDI,Non spécifié,2026-03-28,,https://fr.linkedin.com/jobs/view/data-analyst-f-h-expectra-at-aerocontact-4392301395?position=4&pageNum=0&refId=eexoSgmKOgB%2BWdLHGimbdg%3D%3D&trackingId=SsBOTF009fgk9qj0LhL7ug%3D%3D,LinkedIn,data analyst
li_4393574679,Data Analyst,PROXIAD,"Aix-en-Provence, Provence-Alpes-Côte d'Azur, France",Aix-en-Provence,Provence-Alpes-Côte d'Azur,CDI,Non spécifié,2026-03-31,,https://fr.linkedin.com/jobs/view/data-analyst-at-proxiad-4393574679?position=5&pageNum=0&refId=eexoSgmKOgB%2BWdLHGimbdg%3D%3D&trackingId=bpnkHIRwZbbLTT2v9Bm5Vg%3D%3D,LinkedIn,data analyst
li_4389396325,Digital Product Data Analyst,Coty,"Paris, Île-de-France, France",Paris,Île-de-France,CDI,Non spécifié,2026-03-24,,https://fr.linkedin.com/jobs/view/digital-product-data-analyst-at-coty-4389396325?position=6&pageNum=0&refId=eexoSgmKOgB%2BWdLHGimbdg%3D%3D&trackingId=95TAXe4IusHYvczpzKF%2BoA%3D%3D,LinkedIn,data analyst
li_4395060642,Data Analyste - Dataiku (H-F),Kereon Intelligence,"Niort, Nouvelle-Aquitaine, France",Niort,Nouvelle-Aquitaine,CDI,Non spécifié,2026-03-30,,https://fr.linkedin.com/jobs/view/data-analyste-dataiku-h-f-at-kereon-intelligence-4395060642?position=7&pageNum=0&refId=eexoSgmKOgB%2BWdLHGimbdg%3D%3D&trackingId=nJ2sgDcvwwtkiXZ9g8g2nQ%3D%3D,LinkedIn,data analyst
li_3621584441,Consultant Data Power BI (F/H),Aubay,"Paris, Île-de-France, France",Paris,Île-de-France,CDI,Non spécifié,2026-03-30,,https://fr.linkedin.com/jobs/view/consultant-data-power-bi-f-h-at-aubay-3621584441?position=8&pageNum=0&refId=eexoSgmKOgB%2BWdLHGimbdg%3D%3D&trackingId=fxbCtZ%2Bl%2BAnJOP5JpaLE2w%3D%3D,LinkedIn,data analyst
li_4378802081,ALTERNANCE - Assistant Data Analyst F/H,Christian Dior Couture,"Paris, Île-de-France, France",Paris,Île-de-France,ALTERNANCE,Stage/Alternance,2026-03-23,,https://fr.linkedin.com/jobs/view/alternance-assistant-data-analyst-f-h-at-christian-dior-couture-4378802081?position=9&pageNum=0&refId=eexoSgmKOgB%2BWdLHGimbdg%3D%3D&trackingId=w%2Bnkm5hFGX7jzM0legEzCQ%3D%3D,LinkedIn,data analyst
li_4392953719,Data Analyst Confirmé,NEO2 Digital,"Nanterre, Île-de-France, France",Nanterre,Île-de-France,CDI,Confirmé,2026-03-30,,https://fr.linkedin.com/jobs/view/data-analyst-confirm%C3%A9-at-neo2-digital-4392953719?position=10&pageNum=0&refId=eexoSgmKOgB%2BWdLHGimbdg%3D%3D&trackingId=so1cQcCLmw3nBvTHSdTDXg%3D%3D,LinkedIn,data analyst
